dataset_name,model_type,config.model.model_domain,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size,summary.test_best_rerun/accuracy_mean,summary.test_best_rerun/accuracy_std,summary.test_best_rerun/auroc_mean,summary.test_best_rerun/auroc_std,summary.test_best_rerun/f1_mean,summary.test_best_rerun/f1_std,summary.test_best_rerun/loss_mean,summary.test_best_rerun/loss_std,summary.test_best_rerun/precision_mean,summary.test_best_rerun/precision_std,summary.test_best_rerun/recall_mean,summary.test_best_rerun/recall_std,summary.val_best_rerun/accuracy_mean,summary.val_best_rerun/accuracy_std,summary.val_best_rerun/auroc_mean,summary.val_best_rerun/auroc_std,summary.val_best_rerun/f1_mean,summary.val_best_rerun/f1_std,summary.val_best_rerun/loss_mean,summary.val_best_rerun/loss_std,summary.val_best_rerun/precision_mean,summary.val_best_rerun/precision_std,summary.val_best_rerun/recall_mean,summary.val_best_rerun/recall_std,summary.test_best_rerun/mae_mean,summary.test_best_rerun/mae_std,summary.test_best_rerun/mse_mean,summary.test_best_rerun/mse_std,summary.val_best_rerun/mae_mean,summary.val_best_rerun/mae_std,summary.val_best_rerun/mse_mean,summary.val_best_rerun/mse_std,summary.test_best_rerun/accuracy-0_mean,summary.test_best_rerun/accuracy-0_std,summary.test_best_rerun/accuracy-1_mean,summary.test_best_rerun/accuracy-1_std,summary.test_best_rerun/accuracy-2_mean,summary.test_best_rerun/accuracy-2_std,summary.test_best_rerun/f1-0_mean,summary.test_best_rerun/f1-0_std,summary.test_best_rerun/f1-1_mean,summary.test_best_rerun/f1-1_std,summary.test_best_rerun/f1-2_mean,summary.test_best_rerun/f1-2_std,summary.test_best_rerun/precision-0_mean,summary.test_best_rerun/precision-0_std,summary.test_best_rerun/precision-1_mean,summary.test_best_rerun/precision-1_std,summary.test_best_rerun/precision-2_mean,summary.test_best_rerun/precision-2_std,summary.test_best_rerun/recall-0_mean,summary.test_best_rerun/recall-0_std,summary.test_best_rerun/recall-1_mean,summary.test_best_rerun/recall-1_std,summary.test_best_rerun/recall-2_mean,summary.test_best_rerun/recall-2_std,summary.val_best_rerun/accuracy-0_mean,summary.val_best_rerun/accuracy-0_std,summary.val_best_rerun/accuracy-1_mean,summary.val_best_rerun/accuracy-1_std,summary.val_best_rerun/accuracy-2_mean,summary.val_best_rerun/accuracy-2_std,summary.val_best_rerun/f1-0_mean,summary.val_best_rerun/f1-0_std,summary.val_best_rerun/f1-1_mean,summary.val_best_rerun/f1-1_std,summary.val_best_rerun/f1-2_mean,summary.val_best_rerun/f1-2_std,summary.val_best_rerun/precision-0_mean,summary.val_best_rerun/precision-0_std,summary.val_best_rerun/precision-1_mean,summary.val_best_rerun/precision-1_std,summary.val_best_rerun/precision-2_mean,summary.val_best_rerun/precision-2_std,summary.val_best_rerun/recall-0_mean,summary.val_best_rerun/recall-0_std,summary.val_best_rerun/recall-1_mean,summary.val_best_rerun/recall-1_std,summary.val_best_rerun/recall-2_mean,summary.val_best_rerun/recall-2_std,run_count
BBB_Martins,gat,graph,,,,128.0,0.25,0.001,0.0001,128.0,0.8301039934158325,0.006420476912124055,0.8049353626039293,0.028750619085911047,0.7314366804228889,0.020814881298785615,0.4659983648194207,0.03227478382978061,0.8204201128747728,0.023741675536040636,0.7036068757375081,0.02393619278270896,0.879365082581838,0.00863649998495537,0.8459981626934475,0.029300277510695905,0.8151610361205207,0.015194308901828183,0.38607986635631986,0.035556994792750436,0.894062974717882,0.0270094802656307,0.7798905028237237,0.01964086140255029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.25,0.001,0.0001,256.0,0.8315818270047506,0.008190758628147802,0.8011342803637187,0.02633223790733858,0.7362412863307529,0.018620331272331866,0.5002164800961812,0.0435703853415927,0.8169230858484904,0.019310573791812023,0.707801161872016,0.018929337650297088,0.8724685192108155,0.008350791886049428,0.8472938895225525,0.026306693770414565,0.806431249777476,0.016312686505543877,0.40196701884269714,0.033374491247132175,0.8743213454882304,0.01812866275296359,0.7741271164682176,0.019022621380143132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.25,0.01,0.0001,128.0,0.8288998378647698,0.011233257986036575,0.8108690076404148,0.028428213774414502,0.7323893123202854,0.023580374376464944,0.46502635810110304,0.03704148782661979,0.8134275952974955,0.02675897764938527,0.705577101972368,0.02579897667463341,0.8819923400878906,0.010234173263853707,0.8530443734592862,0.03322498040124845,0.8231055206722684,0.013187772902861761,0.3788398868507809,0.0591014552665575,0.8886091748873393,0.03128047815662081,0.7910546461741129,0.01595854046647148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.25,0.01,0.0001,256.0,0.8259441667132907,0.011552748089179918,0.7921650078561571,0.030522840605344194,0.7237699694103665,0.029518009232219717,0.48307820426093206,0.029096572382604866,0.8113836924235026,0.02358523639100946,0.6969748735427856,0.028911214180167902,0.8737821499506633,0.011029570107194802,0.8280931062168545,0.03128293285772496,0.8074618207083808,0.022224625004864357,0.4021142370171017,0.03583797059346893,0.879272641075982,0.02123762741370718,0.7748595436414083,0.02683729425081872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.5,0.001,0.0001,128.0,0.8280240893363953,0.011351552809337487,0.8005917125278049,0.028293397004107802,0.725442808204227,0.024341990245842864,0.4746728281180064,0.03912239986840011,0.8202432208591037,0.030134543894135103,0.697086673312717,0.02384496750900786,0.8790366689364115,0.005097290354744209,0.8412481400701735,0.031500441812182194,0.8139092842737834,0.013851927845501271,0.39885870152049596,0.04349817464742245,0.8950396431816949,0.020496216306475648,0.7783683154318067,0.0205519644934535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.5,0.001,0.0001,256.0,0.8197591715388828,0.012149456531064766,0.7891537706057231,0.03505818206636871,0.7167535742123922,0.02192697590956164,0.5397914773888058,0.06622941816527086,0.8046467396948073,0.03839001510355485,0.6929023451275296,0.02629911402909888,0.8709359619352552,0.013100792572030397,0.8250257876184252,0.039658235251479865,0.8046459568871392,0.017523379426904236,0.45448449518945483,0.0699989740915273,0.877076960934533,0.037639221542210645,0.773393264081743,0.02153301514151815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.5,0.01,0.0001,128.0,0.8324575887786018,0.008540161286255978,0.8059493210580614,0.02121923969425285,0.7392602814568414,0.018770390196876003,0.4727125883102417,0.03831709528192914,0.8167681468857659,0.021791957642962292,0.7112360821829902,0.018977124327125373,0.8826491514841716,0.00861518163611784,0.8484806842274136,0.02880138775368112,0.825018474790785,0.016529535552465884,0.3795613143179152,0.05389855714068072,0.8843140641848246,0.021295212798429445,0.7948228478431701,0.021546598147682214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,128.0,0.5,0.01,0.0001,256.0,0.82441160413954,0.009475887255850959,0.7947888917393154,0.02971496084983019,0.7141681353251139,0.02509191550811032,0.5093081891536713,0.036942149431337445,0.8236412538422478,0.028900157499142855,0.6864779048495823,0.0251303047751528,0.8780514478683472,0.006899400243080124,0.8229790184232924,0.03238742366917616,0.8115462342898051,0.013835187258561348,0.4248246100213793,0.04588719489272261,0.8976985997623868,0.026637789237962534,0.7753941761122809,0.02086041620907145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.25,0.001,0.0001,128.0,0.8332786003748576,0.01024764281403877,0.8108766688240899,0.025414401839269032,0.7393700506952073,0.021084279485127023,0.5040990902317894,0.07113888879125174,0.8196610185835097,0.021417475983484452,0.7108604669570923,0.022243747576871354,0.8777230421702067,0.007879593774985474,0.8444272398948669,0.01436297670434733,0.812788885169559,0.014475101245873727,0.40544012586275735,0.04266422040784419,0.8901941921975878,0.02363040755383422,0.777925431728363,0.01842270434967491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
BBB_Martins,gat,graph,,,,256.0,0.25,0.001,0.0001,256.0,0.8307608154084948,0.013029253647628023,0.8126334733433194,0.024458012027558405,0.7335101458761427,0.030674002403258824,0.5175547613037957,0.06452161502990537,0.8181969841321309,0.026687466813384693,0.706254251797994,0.031418792837120284,0.878489327430725,0.009625704585166565,0.8425438629256354,0.02815876576257925,0.8160499069425795,0.0203566221853388,0.41563313139809505,0.06857573215028419,0.8859699726104736,0.02793406565668825,0.7843724992540148,0.0271018230332017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
